"index","start_point","end_point","time"
"129","540","554","[210, 142, 179, 191, 180]"
"130","546","554","[120, 60, 447, 115, 145]"
"131","554","554","[0, 30, 60, 210, 56, 79, 52]"
"132","549","549","[0, 90, 149, 59]"
"133","549","545","[60, 30, 90, 89, 59, 48, 78, 190]"
"134","549","544","[120, 127, 119, 90, 150, 89, 59, 60]"
"135","549","b39","[719, 568, 654]"
"136","549","b18","[779, 1042]"
"137","549","322","[1048]"
"138","545","545","[0, 49, 60, 179, 89, 149, 38, 120, 90, 50, 46, 180, 59, 76, 150, 196, 686, 276, 218, 128, 82]"
"139","545","544","[60, 90, 45, 59, 179, 119, 268, 209, 120, 149, 61, 105, 330, 302, 57, 210, 55, 43, 278, 82, 166, 76, 52, 677, 64]"
"140","545","b39","[659, 538, 594, 628, 569, 596]"
"141","545","b18","[719, 837, 685, 597, 658, 688, 776, 656, 718, 748, 689, 835, 600]"
"142","545","322","[988]"
"143","544","b39","[599, 478, 568, 597]"
"144","544","b18","[659, 598, 626, 538, 797, 627, 629]"
"145","544","322","[928]"
"146","b39","b18","[60, 59, 90, 53, 64, 388, 66, 417, 75, 89, 73, 1050, 62, 91, 69, 58, 68, 61, 54]"
"147","b39","322","[329, 270]"
"148","b18","b18","[0, 30, 90, 5531, 179, 767, 588, 329, 324, 268, 702, 328, 991, 298, 8, 1101, 187, 57, 1120, 342, 60, 18233, 269, 290, 270, 14, 121, 61]"
"149","b18","322","[269, 1109, 299, 208, 478, 210, 426]"
"150","322","321","[60, 59, 87, 89, 120, 30, 29, 389, 14, 62, 8, 145]"
"151","321","b9","[180, 274, 59, 150, 60, 149, 120, 270, 73]"
"152","321","b17","[389, 1417, 179, 269, 270, 135]"
"153","321","b28","[419, 329, 338, 210, 325]"
"154","b9","b9","[0, 60, 90]"
"155","b9","b17","[209, 120, 150, 179, 477, 210]"
"156","b9","b28","[239, 360]"
"157","b17","b17","[0, 207, 41700, 1567, 60, 359, 300, 1, 89, 263, 268, 281, 543, 30, 190, 299, 223, 270, 276, 305, 239, 241, 330, 240, 90, 120, 2226, 2423, 3766]"
"158","b17","b28","[30, 60, 478, 1550, 1327, 419, 59, 19178, 329, 778, 299, 268, 240, 270, 61, 42, 324, 39, 35, 895]"
"159","b28","b28","[0, 60, 9, 449, 90]"
"160","b40","b40","[0, 179, 59, 89, 60, 149, 29, 66, 141, 90]"
"161","b40","534","[449, 478, 476, 388, 924, 1017, 479, 419, 393, 600, 450, 390, 570]"
"162","b40","539","[509, 658, 539, 953, 479, 449, 598, 530, 689, 447, 537, 478, 660, 511, 569, 629, 601]"
"163","b40","549","[640, 804, 718, 809]"
"164","534","534","[0, 60, 89, 59, 61, 165, 449, 119, 568, 117, 30, 120, 240, 150, 67]"
"165","534","539","[60, 53, 478, 270, 59, 89, 68, 90, 79, 479, 56, 387, 389, 61, 211, 122, 386, 716, 330, 395, 141]"
"166","534","549","[191, 268, 269, 185, 210, 270, 168]"
"167","539","549","[131, 120, 119, 209, 328, 136]"
"168","546","b44","[659, 568, 526]"
"169","546","b28","[738, 649, 810]"
"170","546","b17","[779, 718, 908, 796, 894, 837, 778, 1165]"
"171","546","b15","[1048, 807]"
"172","546","b41","[1138, 625, 565, 808]"
"173","b44","b28","[79, 60, 59, 89, 396]"
"174","b44","b17","[120, 209, 135, 119, 150, 89, 357, 389, 133, 90, 1258]"
"175","b44","b15","[389, 119, 86, 239, 120, 418, 129, 150, 330, 133]"
"176","b44","b41","[479, 465]"
"177","b28","b17","[41, 60, 150, 4709, 323, 51, 30, 58, 29, 44, 1245, 14470, 394, 355, 52, 2018]"
"178","b28","b15","[310, 1786, 53, 60, 328, 59, 68]"
"179","b28","b41","[400, 60, 59, 91, 66, 61, 53, 50, 55, 52]"
"180","b17","b15","[269, 60, 120, 1137, 147, 30, 277, 298, 239, 180, 89, 52, 81, 268, 210, 470, 86]"
"181","b17","b41","[359, 89, 81, 2076, 149, 90, 328, 388, 76, 331, 84, 270]"
"182","b15","b41","[90, 150, 119, 88, 114, 144, 209, 335, 185]"
"183","b41","b41","[0]"
"184","b33","b33","[0, 59]"
"185","b33","b1","[90, 89, 120, 93, 329, 270]"
"186","b33","b10","[269, 209, 389, 201, 210, 120, 180]"
"187","b33","b28","[389, 1014, 30, 31, 388, 390]"
"188","b33","b29","[528, 33, 389, 30]"
"189","b33","p6","[569, 508, 3543, 988, 1221]"
"190","b33","b57","[658]"
"191","b33","b25","[718, 90, 387, 60]"
"192","b1","b10","[179, 330, 59, 60, 178, 149, 263, 210, 90, 120, 61, 170]"
"193","b1","b28","[299, 268, 60, 90, 59, 298, 62, 68]"
"194","b1","b29","[438, 60, 59, 66, 119, 120, 299, 180, 90, 89, 68]"
"195","b1","p6","[479, 209, 89, 124, 119, 149, 299, 269, 90, 120, 150, 358, 575, 219, 207]"
"196","b1","b57","[568, 120, 283, 89]"
"197","b1","b25","[628, 741, 59, 60, 30]"
"198","b10","b28","[120, 119, 150, 1821, 689, 458, 112]"
"199","b10","b29","[259, 209, 148, 179, 159, 233, 120, 119, 261, 132, 177, 217, 180, 128]"
"200","b10","p6","[300, 209, 149, 238, 208, 357, 210, 239, 715, 281, 269, 279, 178, 179, 5457, 299, 180, 205]"
"201","b10","b57","[389, 119]"
"202","b10","b25","[449, 120, 655, 90, 138, 78, 209, 276]"
"203","b28","b29","[139, 388, 59, 329, 78, 14512, 415, 325]"
"204","b28","p6","[180, 59, 62, 89, 377, 60, 90, 471, 70, 64, 66]"
"205","b28","b57","[269, 346, 764]"
"206","b28","b25","[329, 149, 60, 832]"
"207","b29","b57","[130, 149]"
"208","b29","b25","[190, 158, 89, 328, 461, 4205, 606, 60, 7334]"
"209","p6","b57","[89, 417, 20990]"
"210","p6","b25","[149, 120, 809, 89, 1409, 119, 1427, 4998, 59, 193, 150, 25078, 773, 215, 122, 3164, 60, 17820, 248, 92, 2689, 1440, 284, 74]"
"211","b57","b57","[0, 60, 30, 59]"
"212","b57","b25","[60, 59, 989]"
"213","b5","b19","[85, 180, 1133, 60, 1013, 48, 90, 209, 239, 120, 119, 133, 168, 59, 149, 89, 57, 51, 179, 2749, 127, 150, 68, 240, 146, 46]"
"214","b5","b45","[179, 150, 258, 389, 252, 209, 268, 1147, 180, 148, 235, 834]"
"215","b19","b45","[94, 90, 89, 149, 119, 91, 402, 93, 120, 774, 104]"
"216","535","535","[0, 269, 60, 59, 209, 149, 119, 53, 90, 120, 52, 121, 14, 66, 210]"
"217","535","538","[30, 60, 119, 59, 188, 629, 90, 150]"
"218","538","538","[0, 329, 59, 60, 89, 120, 67, 90, 1, 150, 14, 8, 390]"
"219","545","539","[94, 90, 60, 81, 329, 209, 268, 119, 239, 113, 120, 89, 150, 149, 270, 210, 118, 180, 137, 1451, 1405, 328, 98, 59, 99, 590]"
"220","545","534","[149, 120, 151, 150, 209, 173, 179, 119, 329, 269, 153, 239, 158, 210, 480, 240]"
"221","545","b4","[748, 688, 718, 928, 868, 630]"
"222","539","534","[55, 60, 52, 150, 30, 48, 209, 89, 59, 239, 62, 64, 120, 390, 61, 67, 508, 119, 179, 90, 210, 45, 129, 69, 278, 68, 180, 142]"
"223","539","b4","[654, 655, 864, 591, 566, 628, 871, 538, 928, 657, 779, 690, 689, 771]"
"224","534","b4","[599, 537, 568, 775, 655, 596, 629]"
"225","b10","b2","[89, 59, 782, 60, 90, 1116, 159, 143, 119, 120, 138, 62, 41, 150, 261, 201, 115, 74, 84, 63, 374]"
"226","b2","b2","[0, 180, 209, 60, 1832, 119, 178, 208, 179, 56, 30, 52, 210, 87, 4, 90, 244]"
"227","b2","p6","[120, 336, 5542, 119, 149, 299, 431, 147, 150, 210, 298, 179, 180, 240, 300, 1124, 4657, 570, 1228]"
"228","b2","324","[215, 150, 209, 210]"
"229","326","326","[0, 60, 328, 119, 37, 62, 90, 120, 42]"
"230","326","b23","[150, 119, 311, 179]"
"231","b23","b23","[0, 67]"
"232","b19","b68","[60, 449, 80, 269, 59, 358, 149]"
"233","b68","b68","[0, 299, 90, 209, 60, 120, 61, 167]"
"234","b8","b8","[0, 59, 60, 30, 90, 176, 149, 89, 1822, 207, 79, 62, 359, 75, 102, 54, 68, 1417, 1357, 61, 1419]"
"235","b8","b67","[210]"
"236","b8","b71","[299, 1623, 5972, 268, 4474, 4414]"
"237","b67","b67","[0, 70, 89, 120, 59, 119, 179, 210, 60]"
"238","b67","b71","[89, 60, 139, 120, 150, 59, 30, 90]"
"239","b68","b17","[73, 329, 59, 14558, 3744, 60, 179, 89, 358, 51, 336, 120, 70]"
"240","b68","b5","[180, 179, 120]"
"241","b68","b6","[52911, 180, 203, 191, 257]"
"242","b68","p5","[53108, 14629, 328, 959, 208, 149, 119, 387, 508, 150, 329, 126, 13059, 448, 180]"
"243","b17","b5","[107, 150, 3341, 329, 60, 120, 89, 179, 268, 119, 238, 209, 118, 90, 270, 39, 239, 91, 210, 240, 122, 94, 52]"
"244","b17","b6","[52838, 59, 3009, 240, 60, 268, 72, 149, 238, 119, 130, 210, 120, 239, 257, 209, 3583, 178, 150, 270, 90, 235, 188, 342]"
"245","b17","p5","[53035, 149, 735, 71, 119, 90, 103, 537, 2038, 23855, 1987, 120, 254, 115, 984, 168, 14839, 14869, 358, 150, 328, 2224, 449, 281, 388, 112, 89, 329, 2421, 6613, 613, 179, 11187, 11300, 220, 387, 330, 5620, 1333, 177]"
"246","b5","b6","[52731, 1043, 923, 120, 106, 119, 89, 121, 30, 109, 80, 648, 73, 149, 330, 240, 90, 777, 12]"
"247","b5","p5","[52928, 150, 595, 329, 417, 268, 358, 209, 180, 266, 299, 239, 179]"
"248","b6","b6","[0, 60, 119, 88, 89, 123, 59, 120, 69, 149, 150, 90, 134, 3464, 75]"
"249","b6","p5","[197, 662, 715, 774, 958, 317, 14988, 15018, 208, 149, 4468, 238, 180, 2284, 270, 240, 349, 540, 179, 604, 2876, 944]"
"250","531","539","[120, 66, 119, 60, 628, 598, 90, 300, 243, 149, 269, 329, 89, 417, 71, 59, 208, 166, 143, 239, 72, 81, 150, 1406, 419, 91, 68, 108, 444, 209, 65, 80, 67, 82, 148, 107]"
"251","b30","b30","[0, 119, 328, 30, 120, 1, 8, 910]"
"252","b30","b17","[60, 45, 59, 268, 483, 68, 70, 50]"
"253","b28","b1","[6048, 60, 508, 717, 59, 74, 75, 330, 90]"
"254","b28","b10","[6378, 179, 120, 121]"
"255","b3","b18","[59, 60, 269, 179, 47, 149]"
"256","b3","b41","[119, 120, 750]"
"257","b18","b41","[60, 1859, 67, 83, 59, 90, 395, 64, 77, 73, 69, 79, 89]"
"258","531","538","[59, 60, 89, 516, 119, 72, 90, 61, 64, 120, 179, 62, 86, 63, 150, 69, 132, 329, 114, 57, 122, 270, 189, 185, 50, 378, 102, 810, 127, 306]"
"259","b40","b18","[90, 119, 89, 103, 93, 110, 108, 180, 1066, 120]"
"260","b6","b3","[59, 30, 60, 149, 99, 120, 150]"
"261","p3","p3","[0, 60, 66, 88, 147, 59, 134, 75, 64, 90, 186, 62, 137, 63, 31, 124, 239, 179, 82, 54]"
"262","p3","p4","[66, 179, 45, 83, 59, 60, 114, 68, 64]"
"263","p3","p2","[275]"
"264","p4","p4","[0, 90, 89, 59, 30, 119, 60, 63]"
"265","p4","p2","[209, 10773, 180, 210]"
"266","p2","p2","[0, 29051, 60, 28824, 150, 30, 59, 4225, 489, 120, 6599, 90, 45044, 37410, 37380, 506, 555, 49, 734, 455, 5129, 210, 123, 3560, 3593, 40, 2624, 209, 658, 449, 119, 1204, 89, 52, 1258, 7608, 57, 78, 48, 138, 16, 1611, 1551, 15825, 179, 14606, 379, 3374, 44162, 137, 58, 75, 15, 1174, 13171, 29, 321, 44685, 21891, 21831, 149, 93, 44, 8876, 10, 1315, 1305, 148, 268, 2102, 2161, 16285, 85, 61, 105, 68, 1159, 71, 69, 429, 44318, 56, 27671, 12350, 62, 112, 96, 260, 129, 159, 39750, 33, 100, 2905, 2981, 2845, 2921, 76, 10670, 79, 1466, 585, 526, 466, 10564, 10506, 15681, 64, 193, 652, 1238, 586, 4016, 270, 1779, 99, 125, 14569, 66, 13280, 43, 77, 72, 299, 87, 73, 6382, 76201, 74108, 53, 31, 3707, 419, 388, 152, 65, 70, 476, 2424, 1224, 74, 329, 629, 195, 142, 63, 81, 23, 4488, 2283, 18450, 18391, 5052, 2193, 2280, 4829, 12309, 6847, 95, 1, 7058, 80, 38, 98, 501, 561, 463, 523, 403, 5676, 5744, 9402, 67, 8878, 6587, 43052, 904, 330, 4183, 83, 91, 2687, 505, 13245, 776, 9941, 3201, 11355, 2450, 2344, 2895, 1110, 547, 139, 1856, 182, 389, 424, 9805, 2004, 1262, 718, 153, 283, 289, 649, 360, 47, 42]"
"267","p2","b26","[120, 21260, 209, 118, 7747, 139, 112, 13805, 89, 1294, 1205, 188, 217, 119, 15584, 356, 1554, 163]"
"268","p2","p6","[180, 209, 270, 210, 150, 780, 196, 255, 23740, 16558, 273, 351, 156, 149, 359, 299, 240, 3514, 269, 179]"
"269","b26","p6","[60, 90, 89, 59, 1620, 402, 120, 180, 359, 1183, 4478, 10803, 56, 52]"
"270","p5","p2","[87, 120, 150, 149, 178, 210, 186, 1167, 179, 326]"
"271","p2","b10","[270, 149, 81, 119, 151, 1313, 89, 120, 166, 90, 2590]"
"272","b17","b35","[90, 94, 1429, 1749, 14095, 66, 60, 59, 65, 64, 150, 327, 3826, 85]"
"273","b17","538","[629, 958, 389, 536, 537, 936, 655, 596, 628, 567, 582, 540, 591]"
"274","b17","545","[808, 714, 777, 778, 686, 2976, 1426]"
"275","b17","544","[898, 509, 1057, 655, 705, 658, 537, 600]"
"276","b17","531","[1018, 569, 329, 554, 464, 1487, 509, 449, 528, 480, 1225, 390, 920]"
"277","b17","p6","[1407, 90, 149, 119, 120, 89, 357, 94, 175, 209, 388, 208, 178, 91, 249, 59, 60, 329, 359, 3463, 150, 389, 335, 365, 1322, 69, 67, 85]"
"278","b35","b35","[0, 60, 713, 374, 120]"
"279","b35","538","[539, 868, 476, 419, 518]"
"280","b35","545","[718, 568, 627]"
"281","b35","544","[808, 539, 627, 746, 898, 479]"
"282","b35","531","[928, 449, 395, 448, 387, 417, 389, 419, 748, 1017, 510]"
"283","b35","p6","[1317, 1166, 506, 565]"
"284","538","545","[179, 89, 119, 143, 118, 98, 120, 115, 270, 149, 150, 330, 139, 180]"
"285","538","544","[269, 60, 120, 209, 59, 119, 89, 57, 54, 126, 298, 65, 121, 81, 52, 270, 330]"
"286","538","531","[389, 60, 119, 78, 89, 59, 538, 150, 63, 74, 90, 446, 238, 65, 50, 62, 120, 149, 269, 58, 46, 52, 416]"
"287","538","p6","[778, 449, 526, 6217, 596, 716, 708, 478, 684, 456, 570]"
"288","545","538","[150, 179, 104, 149, 120, 119, 269, 389, 450, 180, 222, 89, 133, 270, 111, 163]"
"289","545","531","[210, 239, 209, 419, 185, 193, 328, 179, 190, 150, 357, 149, 330, 270, 212, 329, 269, 1736, 1676, 509, 240, 197, 282, 180, 449, 360, 359, 188, 286, 316, 120]"
"290","545","p6","[599, 865, 533, 928, 539]"
"291","544","538","[60, 59, 90, 119, 80, 510, 103, 89, 68, 72, 260, 528]"
"292","544","531","[120, 149, 210, 184, 119, 132, 122, 104, 209, 387, 150, 112, 180, 1527, 569, 163, 137, 389, 90, 468, 145]"
"293","544","p6","[509, 868, 576, 597, 599]"
